"Plot-Titel: KLG"
"Anz.","Datum Zeit, GMT+02:00","Temp., °C (LGR S/N: 21309858, SEN S/N: 21309858, LBL: °C)","Intensität, Lux (LGR S/N: 21309858, SEN S/N: 21309858, LBL: Lux)"
413,08.12.22 08:23:41 PM,27.961,2927.8
414,08.12.22 09:23:41 PM,26.000,0.0
415,08.12.22 10:23:41 PM,25.513,0.0
416,08.12.22 11:23:41 PM,24.448,0.0
417,08.13.22 12:23:41 AM,23.484,0.0
418,08.13.22 01:23:41 AM,22.908,0.0
419,08.13.22 02:23:41 AM,21.951,0.0
420,08.13.22 03:23:41 AM,21.091,0.0
421,08.13.22 04:23:41 AM,20.901,0.0
422,08.13.22 05:23:41 AM,20.710,21.5
423,08.13.22 06:23:41 AM,20.710,1076.4
424,08.13.22 07:23:41 AM,21.282,2411.1
425,08.13.22 08:23:41 AM,24.062,17911.2
426,08.13.22 09:23:41 AM,25.028,9644.5
427,08.13.22 10:23:41 AM,26.000,5338.9
428,08.13.22 11:23:41 AM,29.152,23422.4
429,08.13.22 12:23:41 PM,27.567,5338.9
430,08.13.22 01:23:41 PM,26.195,7233.4
431,08.13.22 02:23:41 PM,26.585,10333.4
432,08.13.22 03:23:41 PM,30.154,26178.0
433,08.13.22 04:23:41 PM,30.862,14466.8
434,08.13.22 05:23:41 PM,31.370,11711.2
435,08.13.22 06:23:41 PM,31.880,13777.9
436,08.13.22 07:23:41 PM,29.053,3272.2
437,08.13.22 08:23:41 PM,27.468,344.4
438,08.13.22 09:23:41 PM,26.781,0.0
439,08.13.22 10:23:41 PM,25.805,0.0
440,08.13.22 11:23:41 PM,24.931,0.0
441,08.14.22 12:23:41 AM,24.062,0.0
442,08.14.22 01:23:41 AM,23.388,0.0
443,08.14.22 02:23:41 AM,22.429,0.0
444,08.14.22 03:23:41 AM,21.664,0.0
445,08.14.22 04:23:41 AM,21.569,0.0
446,08.14.22 05:23:41 AM,21.569,0.0
447,08.14.22 06:23:41 AM,21.378,613.5
448,08.14.22 07:23:41 AM,23.581,10677.8
449,08.14.22 08:23:41 AM,29.252,38578.0
450,08.14.22 09:23:41 AM,31.268,41333.6
451,08.14.22 10:23:41 AM,32.704,39955.8
452,08.14.22 11:23:41 AM,33.222,35822.5
453,08.14.22 12:23:41 PM,34.374,31689.1
454,08.14.22 01:23:41 PM,34.479,30311.3
455,08.14.22 02:23:41 PM,35.864,28933.5
456,08.14.22 03:23:41 PM,36.946,27555.7
457,08.14.22 04:23:41 PM,36.511,24800.2
458,08.14.22 05:23:41 PM,36.620,24800.2
459,08.14.22 06:23:41 PM,35.756,21355.7
460,08.14.22 07:23:41 PM,33.848,14466.8
461,08.14.22 08:23:41 PM,29.853,1065.6
462,08.14.22 09:23:41 PM,27.764,0.0
463,08.14.22 10:23:41 PM,26.683,0.0
464,08.14.22 11:23:41 PM,25.902,0.0
465,08.15.22 12:23:41 AM,25.028,0.0
466,08.15.22 01:23:41 AM,23.966,0.0
467,08.15.22 02:23:41 AM,23.004,0.0
468,08.15.22 03:23:41 AM,21.951,0.0
469,08.15.22 04:23:41 AM,21.282,0.0
470,08.15.22 05:23:41 AM,20.615,0.0
471,08.15.22 06:23:41 AM,20.424,1270.1
472,08.15.22 07:23:41 AM,21.760,3616.7
473,08.15.22 08:23:41 AM,28.555,38578.0
474,08.15.22 09:23:41 AM,29.652,41333.6
475,08.15.22 10:23:41 AM,31.676,41333.6
476,08.15.22 11:23:41 AM,31.676,23422.4
477,08.15.22 12:23:41 PM,29.953,11022.3
478,08.15.22 01:23:41 PM,32.188,20666.8
479,08.15.22 02:23:41 PM,31.370,9300.1
480,08.15.22 03:23:41 PM,31.880,11022.3
481,08.15.22 04:23:41 PM,33.014,7577.8
482,08.15.22 05:23:41 PM,33.222,6200.0
483,08.15.22 06:23:41 PM,28.357,516.7
484,08.15.22 07:23:41 PM,19.662,21.5
485,08.15.22 08:23:41 PM,20.138,21.5
486,08.15.22 09:23:41 PM,20.043,0.0
487,08.15.22 10:23:41 PM,19.853,0.0
488,08.15.22 11:23:41 PM,19.758,0.0
489,08.16.22 12:23:41 AM,19.853,0.0
490,08.16.22 01:23:41 AM,19.567,0.0
491,08.16.22 02:23:41 AM,19.187,0.0
492,08.16.22 03:23:41 AM,18.996,0.0
493,08.16.22 04:23:41 AM,18.711,0.0
494,08.16.22 05:23:41 AM,18.521,0.0
495,08.16.22 06:23:41 AM,18.996,3444.5
496,08.16.22 07:23:41 AM,23.292,27555.7
497,08.16.22 08:23:41 AM,26.390,37200.2
498,08.16.22 09:23:41 AM,30.457,39955.8
499,08.16.22 10:23:41 AM,30.862,38578.0
500,08.16.22 11:23:41 AM,31.472,33066.9
501,08.16.22 12:23:41 PM,33.014,22044.6
502,08.16.22 01:23:41 PM,34.268,34444.7
503,08.16.22 02:23:41 PM,34.903,34444.7
504,08.16.22 03:23:41 PM,31.880,14466.8
505,08.16.22 04:23:41 PM,32.086,9644.5
506,08.16.22 05:23:41 PM,36.079,23422.4
507,08.16.22 06:23:41 PM,34.691,19289.0
508,08.16.22 07:23:41 PM,32.600,12400.1
509,08.16.22 08:23:41 PM,28.060,355.2
510,08.16.22 09:23:41 PM,26.195,0.0
511,08.16.22 10:23:41 PM,25.416,0.0
512,08.16.22 11:23:41 PM,25.125,0.0
513,08.17.22 12:23:41 AM,23.581,0.0
